Game	GameID	Players	Rounds	Turns	Ticks	P0_Score	P0_Ordinal	P0_Type	P1_Score	P1_Ordinal	P1_Type	P2_Score	P2_Ordinal	P2_Type	P3_Score	P3_Ordinal	P3_Type	P4_Score	P4_Ordinal	P4_Type	P5_Score	P5_Ordinal	P5_Type	P6_Score	P6_Ordinal	P6_Type	P7_Score	P7_Ordinal	P7_Type	P8_Score	P8_Ordinal	P8_Type
SushiGo	2	2	2	55	64	37.0	2	BasicMCTS	64.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	3	2	2	55	60	62.0	1	BasicMCTS	42.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	4	2	2	55	58	44.0	2	BasicMCTS	52.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	5	2	2	55	62	53.0	2	BasicMCTS	59.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	6	2	2	55	60	54.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	7	2	2	55	58	36.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	8	2	2	55	64	43.0	2	BasicMCTS	59.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	9	2	2	55	60	52.0	1	BasicMCTS	46.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	10	2	2	55	60	40.0	1	BasicMCTS	32.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	11	2	2	55	68	57.0	1	BasicMCTS	47.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	12	2	2	55	62	40.0	2	BasicMCTS	51.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	13	2	2	55	60	51.0	1	BasicMCTS	44.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	14	2	2	55	58	54.0	1	BasicMCTS	51.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	15	2	2	55	60	39.0	2	BasicMCTS	51.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	16	2	2	55	58	30.0	2	BasicMCTS	47.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	17	2	2	55	58	46.0	2	BasicMCTS	63.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	18	2	2	55	62	48.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	19	2	2	55	58	47.0	1	BasicMCTS	35.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	20	2	2	55	62	37.0	2	BasicMCTS	45.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	21	2	2	55	62	43.0	2	BasicMCTS	61.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
